156;MDN20400;PONOROGO, KAB PONOROGO;2021-07-02;2021-07-02
157;MES10000;MEDAN;2021-07-02;2021-07-02
158;MES10100;KISARAN, KAB.ASAHAN;2021-07-02;2021-07-02
159;MES10300;SIDIKALANG, KAB.DAIRI;2021-07-02;2021-07-02
160;SRG20700;DEMAK;2021-07-02;2021-07-02
161;SRG20900;PATI,KAB.PATI;2021-07-02;2021-07-02
162;SRG21000;PEMALANG,KAB.PEMALANG;2021-07-02;2021-07-02
163;BPN10008;SAMBOJA, KUTAI KARTANEGARA;2021-07-02;2021-07-02
164;BKS20116;PUTRI HIJAU,ARGAMAKMUR;2021-07-02;2021-07-02
165;SOC20500;SUKOHARJO;2021-07-02;2021-07-02
166;SOQ10000;SORONG;2021-07-02;2021-07-02
167;SOQ10010;SAUSAPOR,SORONG;2021-07-02;2021-07-02
168;SRG10000;SEMARANG;2021-07-02;2021-07-02
169;SRG10100;JEPARA,KAB.JEPARA;2021-07-02;2021-07-02
170;SRG10200;KUDUS,KAB.KUDUS;2021-07-02;2021-07-02
171;SRG10300;PEKALONGAN;2021-07-02;2021-07-02
172;SRG20200;BATANG ,KAB BATANG;2021-07-02;2021-07-02
173;SRG20300;BLORA,KAB.BLORA;2021-07-02;2021-07-02
174;PLW20212;PAMONA SELATAN,POSO;2021-07-02;2021-07-02
175;PNK10100;KETAPANG, KAB.KETAPANG;2021-07-02;2021-07-02
176;PNK10105;NANGA TAYAP,KETAPANG;2021-07-02;2021-07-02
177;PNK10200;SANGGAU, KAB SANGGAU;2021-07-02;2021-07-02
178;PNK10300;SINGKAWANG;2021-07-02;2021-07-02
179;PNK10400;SINTANG,KAB.SINTANG;2021-07-02;2021-07-02
180;PNK20200;PUTUSSIBAU, KAB.KAPUAS HULU;2021-07-02;2021-07-02
181;SMD10000;SAMARINDA;2021-07-02;2021-07-02
182;SMD20100;TENGGARONG,KAB.KUTAI;2021-07-02;2021-07-02
183;SUB21000;TULUNGAGUNG,KAB.TULUNGAGUNG;2021-07-02;2021-07-02
184;SUB22000;TRENGGALEK,KAB.TRENGGALEK;2021-07-02;2021-07-02
185;PGK10000;PANGKALPINANG;2021-07-02;2021-07-02
186;PGK10200;SUNGAI LIAT,BANGKA;2021-07-02;2021-07-02
187;PKU21011;SOREK, KAB PELALAWAN;2021-07-02;2021-07-02
188;PGK10201;BELINYU,BANGKA;2021-07-02;2021-07-02
189;PKU10000;PEKANBARU;2021-07-02;2021-07-02
190;PKU20100;BANGKINANG, KAB KAMPAR;2021-07-02;2021-07-02
191;PKU20101;KAMPAR,BANGKINANG;2021-07-02;2021-07-02
192;PKU20200;BENGKALIS, KAB BENGKALIS;2021-07-02;2021-07-02
193;PKU20300;RENGAT, KAB INDRAGIRI HULU;2021-07-02;2021-07-02
194;PKU20307;SIBERIDA,RENGAT;2021-07-02;2021-07-02
195;PKU20400;TEMBILAHAN, INDRAGIRI HILIR;2021-07-02;2021-07-02
196;PKU20500;BAGANSIAPIAPI, KAB ROKAN HILIR;2021-07-02;2021-07-02
197;PKY20200;KASONGAN,KAB.KATINGAN;2021-07-02;2021-07-02
198;PKY20300;KUALAKAPUAS;2021-07-02;2021-07-02
199;PKY20500;KUALA PEMBUANG;2021-07-02;2021-07-02
200;PKY20700;PANGKALANBUN;2021-07-02;2021-07-02
201;PKY20800;SAMPIT;2021-07-02;2021-07-02
202;PKY20806;PARENGGEAN,SAMPIT;2021-07-02;2021-07-02
203;PLM10000;PALEMBANG;2021-07-02;2021-07-02
204;DJJ20400;MERAUKE,KAB.MERAUKE;2021-07-02;2021-07-02
205;DJJ20500;NABIRE,KAB.NABIRE;2021-07-02;2021-07-02
206;DJJ20600;SERUI;2021-07-02;2021-07-02
207;DPK10000;DEPOK;2021-07-02;2021-07-02
208;DPS10000;DENPASAR;2021-07-02;2021-07-02
209;PLM20300;LAHAT,KAB.LAHAT;2021-07-02;2021-07-02
210;PLM20600;PAGARALAM;2021-07-02;2021-07-02
211;PLM20700;PRABUMULIH;2021-07-02;2021-07-02
212;PLM20800;SEKAYU,KAB.MUSI BANYUASIN;2021-07-02;2021-07-02
213;PLM20806;SUNGAI LILIN,SEKAYU;2021-07-02;2021-07-02
214;PLW20100;LUWUK,KAB.BANGGAI;2021-07-02;2021-07-02
215;PLW20103;BATUI,LUWUK;2021-07-02;2021-07-02
216;PLW20200;POSO;2021-07-02;2021-07-02
217;MGL10400;TEMANGGUNG,KAB.TEMANGGUNG;2021-07-02;2021-07-02
218;PNK10223;ENTIKONG, SANGGAU;2021-07-02;2021-07-02
219;CGK10600;PULAU PRAMUKA;2021-07-02;2021-07-02
220;TKG20404;KRUI, PESISIR BARAT;2021-07-02;2021-07-02
221;TKG20104;TANJUNG BINTANG, LAMPUNG SEL;2021-07-02;2021-07-02
222;TKG20107;KATIBUNG, KAB.LAMPUNG SELATAN;2021-07-02;2021-07-02
223;TRK20105;PULAU BUNYU, TANJUNGSELOR;2021-07-02;2021-07-02
224;TRK20200;MALINAU, KAB MALINAU;2021-07-02;2021-07-02
225;TRK20300;NUNUKAN, KAB NUNUKAN;2021-07-02;2021-07-02
